Tarih,Sembol,Giriş (Buy_L),Stop (SL),Hedef 1 (TP1),Hedef 2 (TP2)
14 Nisan,GSAT,77.49,73.05,88.59,1014.28
14 Nisan,SGI,81.71,78.72,89.18,269.49
14 Nisan,BBIO,77.63,77.34,78.52,169.8
14 Nisan,SNDK,907.58,895.77,955.35,110.33
14 Nisan,CROX,100.01,99.61,104.97,98.88
14 Nisan,SQM,88.02,87.06,92.97,99.64
14 Nisan,AVT,72.49,72.28,73.19,79.7
14 Nisan,MOD,246.19,240.47,254.98,104.13
14 Nisan,FUTU,159.33,155.02,162.41,74.1
14 Nisan,INTC,62.22,61.91,62.61,63.31
13 Nisan,FORM,132.08,117.72,135.18,139.83
13 Nisan,NOK,10.42,9.53,10.61,10.9
13 Nisan,CAR,336,287.13,344.06,356.16
13 Nisan,CLS,363.25,324.55,371.61,384.15
10 Nisan,SSSS,11.98,10.67,12.46,13.18
09 Nisan,NOK,9.52,8.73,9.9,10.47
09 Nisan,CAR,260.85,222.53,267.11,276.5
09 Nisan,INTC,60.48,54.39,61.8,63.77
08 Nisan,SPIR,20.34,17.31,20.83,21.56
08 Nisan,ATMU,63.48,58.74,65.85,69.41
08 Nisan,HTZ,5.89,5.19,6.03,6.24
07 Nisan,AMLX,16.13,14.32,16.52,17.1
06 Nisan,CTA,31.2,29.82,31.89,32.92
06 Nisan,KODK,11.4,10.06,11.67,12.08
06 Nisan,RLAY,12.48,10.81,12.78,13.23
06 Nisan,MGTX,9.69,8.59,9.92,10.27
30 Mart,SOBO,34.7,33.3,35.4,36.45
30 Mart,KODK,8.76,7.74,9.11,9.64
30 Mart,CODI,7.95,6.88,8.14,8.42
26 Mart,AIR,111.08,99.83,115.52,122.19
26 Mart,ELVN,39.65,34.89,40.6,42.03
25 Mart,DOCN,84.68,73.28,88.07,93.15
25 Mart,ELVN,35.95,31.61,36.81,38.11
24 Mart,BEP,31.3,29.31,32.29,33.78
23 Mart,SEDG,47.14,39.92,49.02,51.85
23 Mart,KNF,84.33,77.21,87.7,92.76
23 Mart,BTU,37.31,32.96,38.8,41.04
23 Mart,TS,56.52,53.84,57.86,59.87
23 Mart,VSAT,48.67,41.65,50.62,53.54
23 Mart,PARR,58.35,52.15,60.69,64.19
23 Mart,CNR,103.63,93.09,107.77,113.99
23 Mart,ECVT,11.98,11.14,12.39,13.02
23 Mart,CC,18.61,16.04,19.35,20.47
23 Mart,DTM,137.31,129.87,141.03,146.61
23 Mart,DAN,32.78,30.19,34.08,36.03
23 Mart,AROC,35.53,33.28,36.65,38.34
23 Mart,E,52.79,50.45,53.97,55.73
23 Mart,OVV,56.97,53.75,58.9,61.8
21 Mart,🚀 KNF,33.2,80.9,74.04,84.14
21 Mart,🚀 GAIN,27.2,14.05,13.41,14.37
21 Mart,🚀 BEP,27,30.83,28.91,31.79
21 Mart,🚀 FLNG,26.7,30.08,28.16,31.04
21 Mart,🚀 SNDX,26.3,24.23,22.01,25.2
21 Mart,🚀 DIOD,25.6,64.75,58.1,67.34
21 Mart,🚀 VET,24.6 [E],13.89,12.69,14.15
